Name,Date,Symbol,Open,High,Low,Close,Volume LINK
Chainlink,04/02/2022,LINK,16.31,17.55,16,17.5,5829149.36
Chainlink,05/02/2022,LINK,17.5,18.32,17.42,17.76,5007027.59
Chainlink,06/02/2022,LINK,17.75,18.17,17.17,18.07,3114467.57
Chainlink,07/02/2022,LINK,18.06,19.4,17.65,18.88,6242937.28
Chainlink,08/02/2022,LINK,18.89,19.54,17.72,18.38,6603587.99
Chainlink,09/02/2022,LINK,18.38,18.75,17.75,18.67,3742482.7
Chainlink,10/02/2022,LINK,18.67,18.75,17.35,17.5,5796638.84
Chainlink,11/02/2022,LINK,17.51,17.81,15.89,16.21,4468507.35
Chainlink,12/02/2022,LINK,16.2,16.38,15.56,15.95,4161869.44
Chainlink,13/02/2022,LINK,15.96,16.33,15.52,15.6,2671296.28
Chainlink,14/02/2022,LINK,15.61,16.12,15.2,15.9,3638626.12
Chainlink,15/02/2022,LINK,15.91,17.45,15.81,17.34,4132749.5
Chainlink,16/02/2022,LINK,17.34,17.41,16.49,17.12,3608928.92
Chainlink,17/02/2022,LINK,17.13,17.45,15.45,15.59,4927491.83
Chainlink,18/02/2022,LINK,15.6,16.06,15.03,15.19,3855947.82
Chainlink,19/02/2022,LINK,15.18,15.68,14.84,15.51,3219793.29
Chainlink,20/02/2022,LINK,15.52,15.53,14.39,14.6,3837683.54
Chainlink,21/02/2022,LINK,14.61,15.31,13.38,13.51,7372976.51
Chainlink,22/02/2022,LINK,13.5,14.2,13.02,13.99,5856340.62
Chainlink,23/02/2022,LINK,13.98,14.66,13.3,13.35,5114288.86
Chainlink,24/02/2022,LINK,13.34,13.95,11.4,13.27,15759305
Chainlink,25/02/2022,LINK,13.27,14.49,13.08,14.36,6030934.14
Chainlink,26/02/2022,LINK,14.36,15.05,14.09,14.72,5169319.32
Chainlink,27/02/2022,LINK,14.71,14.86,13.47,13.64,6636801.7
Chainlink,28/02/2022,LINK,13.64,15.15,13.31,15.13,6565276.42
Chainlink,01/03/2022,LINK,15.12,15.73,14.72,15.35,6417303.01
Chainlink,02/03/2022,LINK,15.34,15.87,14.91,15.28,6289045.87
Chainlink,03/03/2022,LINK,15.29,15.38,14.46,14.89,4619929.39
Chainlink,04/03/2022,LINK,14.89,14.98,13.54,13.73,6010183.64
Chainlink,05/03/2022,LINK,13.74,14.27,13.41,14.03,2774984.85
Chainlink,06/03/2022,LINK,14.02,14.12,13.25,13.32,3535626.53
Chainlink,07/03/2022,LINK,13.31,13.67,12.42,12.68,7302965.91
Chainlink,08/03/2022,LINK,12.67,13.56,12.58,13.08,6877422.56
Chainlink,09/03/2022,LINK,13.08,14.46,13.05,14.01,6462680.43
Chainlink,10/03/2022,LINK,14,14.11,12.96,13.17,5469282.04
Chainlink,11/03/2022,LINK,13.18,13.65,12.8,13.05,4657580.01
Chainlink,12/03/2022,LINK,13.04,13.46,13.02,13.15,2499460.74
Chainlink,13/03/2022,LINK,13.15,13.43,12.59,12.7,2732503.8
Chainlink,14/03/2022,LINK,12.71,13.44,12.6,13.41,4643719.7
Chainlink,15/03/2022,LINK,13.41,13.8,12.87,13.69,3454099.55
Chainlink,16/03/2022,LINK,13.69,14.78,13.66,14.66,6546791.14
Chainlink,17/03/2022,LINK,14.66,14.93,14.23,14.4,4152174.08
Chainlink,18/03/2022,LINK,14.41,15.27,14.12,15.01,4421110.43
Chainlink,19/03/2022,LINK,15,15.4,14.83,15.01,3285256.26
Chainlink,20/03/2022,LINK,15.01,15.13,14.42,14.54,2883923.42
Chainlink,21/03/2022,LINK,14.54,15.28,14.3,15,3719572.96
Chainlink,22/03/2022,LINK,14.99,15.86,14.98,15.43,4500280.54
Chainlink,23/03/2022,LINK,15.43,15.98,15.13,15.83,3827078.04
Chainlink,24/03/2022,LINK,15.84,16.44,15.6,16.17,5204988.98
Chainlink,25/03/2022,LINK,16.16,16.46,15.47,15.59,4654254.07
Chainlink,26/03/2022,LINK,15.6,15.96,15.49,15.83,2425031.02
Chainlink,27/03/2022,LINK,15.83,16.91,15.63,16.87,3937478.83
Chainlink,28/03/2022,LINK,16.86,17.37,16.34,16.5,5918598.6
Chainlink,29/03/2022,LINK,16.5,17.52,16.47,16.98,4496577.65
Chainlink,30/03/2022,LINK,16.98,17.58,16.53,17.22,4866676.4
Chainlink,31/03/2022,LINK,17.21,18.05,16.64,16.91,5770687.14
Chainlink,01/04/2022,LINK,16.91,17.37,16.16,17.34,4521915.84
Chainlink,02/04/2022,LINK,17.34,17.87,17.1,17.4,3634084.25
Chainlink,03/04/2022,LINK,17.4,18.32,17.15,18.08,3430897.49
Chainlink,04/04/2022,LINK,18.07,18.08,16.82,17.5,3811139.33
Chainlink,05/04/2022,LINK,17.51,17.66,16.66,16.74,2337093.84
Chainlink,06/04/2022,LINK,16.75,16.79,15.27,15.41,4629748.58
Chainlink,07/04/2022,LINK,15.41,15.88,15.1,15.75,2867861.76
Chainlink,08/04/2022,LINK,15.74,15.91,15.01,15.13,2321153.06
Chainlink,09/04/2022,LINK,15.12,15.47,15.12,15.43,1366727.9
Chainlink,10/04/2022,LINK,15.43,15.93,15.17,15.24,1611326.85
Chainlink,11/04/2022,LINK,15.23,15.28,13.51,13.76,3982122.72
Chainlink,12/04/2022,LINK,13.76,14.33,13.63,13.98,2649528.63
Chainlink,13/04/2022,LINK,13.98,14.22,13.68,14.19,2228609.09
Chainlink,14/04/2022,LINK,14.2,14.33,13.33,13.65,2905294.96
Chainlink,15/04/2022,LINK,13.64,14.19,13.63,14.11,1819449.78
Chainlink,16/04/2022,LINK,14.11,14.28,13.83,14.14,1517456.04
Chainlink,17/04/2022,LINK,14.14,14.62,13.65,13.73,2635685.7
Chainlink,18/04/2022,LINK,13.72,14.06,13.14,14.06,3940066.58
Chainlink,19/04/2022,LINK,14.06,14.42,13.83,14.24,2269575.91
Chainlink,20/04/2022,LINK,14.24,14.5,13.7,14.02,3259324.92
Chainlink,21/04/2022,LINK,14.02,14.37,13.34,13.57,2982911.59
Chainlink,22/04/2022,LINK,13.57,13.88,13.47,13.58,2458584.25
Chainlink,23/04/2022,LINK,13.58,13.68,13.18,13.31,1566301.36
Chainlink,24/04/2022,LINK,13.32,13.63,13.21,13.26,1809966.78
Chainlink,25/04/2022,LINK,13.27,13.51,12.53,13.44,4158403.4
Chainlink,26/04/2022,LINK,13.44,13.51,12.14,12.37,3283715.22
Chainlink,27/04/2022,LINK,12.36,12.8,12.3,12.74,3202787.51
Chainlink,28/04/2022,LINK,12.74,12.99,12.4,12.66,3668346.34
Chainlink,29/04/2022,LINK,12.66,12.73,11.83,11.97,3050465.77
Chainlink,30/04/2022,LINK,11.98,12.25,10.65,10.95,4336325.59
Chainlink,01/05/2022,LINK,10.96,11.5,10.81,11.31,4020103.97
Chainlink,02/05/2022,LINK,11.3,11.45,10.77,11.17,3937746.95
Chainlink,03/05/2022,LINK,11.17,11.5,10.8,11.12,3860280.78
Chainlink,04/05/2022,LINK,11.13,12.23,11.08,12.2,4762067.09
Chainlink,05/05/2022,LINK,12.2,12.29,10.63,10.91,6346341.8
Chainlink,06/05/2022,LINK,10.91,11.03,10.4,10.79,5327741.571
Chainlink,07/05/2022,LINK,10.78,10.84,10,10.21,2641029.994
Chainlink,08/05/2022,LINK,10.21,10.38,9.84,10,4021452.062
Chainlink,09/05/2022,LINK,10,10.16,8.01,8.1,11098749.49
Chainlink,10/05/2022,LINK,8.1,9.33,7.89,8.59,13985725.05
Chainlink,11/05/2022,LINK,8.58,8.85,6.54,6.95,18694665.89
Chainlink,12/05/2022,LINK,6.95,7.43,5.53,6.56,20649629.97
Chainlink,13/05/2022,LINK,6.57,7.8,6.48,7.15,9752518.3
Chainlink,14/05/2022,LINK,7.14,7.44,6.64,7.26,5661831.53
Chainlink,15/05/2022,LINK,7.26,7.99,7.01,7.96,5054597.35
Chainlink,16/05/2022,LINK,7.97,7.97,7.16,7.42,7682510.94
Chainlink,17/05/2022,LINK,7.42,7.98,7.3,7.72,5287316.89
Chainlink,18/05/2022,LINK,7.72,7.81,6.78,6.81,5450468.13
Chainlink,19/05/2022,LINK,6.81,7.26,6.64,7.22,5891795.13
Chainlink,20/05/2022,LINK,7.23,7.37,6.75,6.87,5326415.7
Chainlink,21/05/2022,LINK,6.86,7.12,6.77,7.06,2165477.61
Chainlink,22/05/2022,LINK,7.05,7.41,6.92,7.33,5525822.44
Chainlink,23/05/2022,LINK,7.32,7.68,6.98,7.02,5136136.21
Chainlink,24/05/2022,LINK,7.03,7.81,6.72,7.23,5997773.04
Chainlink,25/05/2022,LINK,7.23,7.4,6.94,6.96,4738917.15
Chainlink,26/05/2022,LINK,6.96,7.09,6.22,6.57,6011561.06
Chainlink,27/05/2022,LINK,6.57,6.71,6.2,6.29,6403701.79
Chainlink,28/05/2022,LINK,6.29,6.66,6.21,6.58,3597414
Chainlink,29/05/2022,LINK,6.58,6.75,6.34,6.71,2495176.05
Chainlink,30/05/2022,LINK,6.72,7.52,6.65,7.46,5964086.79
Chainlink,31/05/2022,LINK,7.45,7.73,7.18,7.59,5256209.91
Chainlink,01/06/2022,LINK,7.59,7.77,6.75,6.93,6436515.03
Chainlink,02/06/2022,LINK,6.93,7.25,6.81,7.19,3846549.94
Chainlink,03/06/2022,LINK,7.19,7.22,6.69,6.85,3738907.2
Chainlink,04/06/2022,LINK,6.86,7.44,6.68,7.4,3007035.99
Chainlink,05/06/2022,LINK,7.41,7.89,7.25,7.64,5204882.16
Chainlink,06/06/2022,LINK,7.64,8.2,7.62,7.97,6805688.94
Chainlink,07/06/2022,LINK,7.98,9,7.31,8.71,11449915.03
Chainlink,08/06/2022,LINK,8.72,9,8.23,8.7,12751229.89
Chainlink,09/06/2022,LINK,8.71,9.64,8.49,9.27,12151419.13
Chainlink,10/06/2022,LINK,9.27,9.54,8,8.04,12553253.98
Chainlink,11/06/2022,LINK,8.04,8.42,6.94,7.04,12079552.59
Chainlink,12/06/2022,LINK,7.04,7.14,6.25,6.27,10758386.83
Chainlink,13/06/2022,LINK,6.26,6.35,5.3,5.93,23703953.67
Chainlink,14/06/2022,LINK,5.92,6.88,5.39,6.74,22195143.72
Chainlink,15/06/2022,LINK,6.73,7.38,5.83,7.33,28804901.14
Chainlink,16/06/2022,LINK,7.33,7.51,6.2,6.36,16785768.12
Chainlink,17/06/2022,LINK,6.36,6.74,6.26,6.36,8044145.27
Chainlink,18/06/2022,LINK,6.36,6.47,5.41,5.92,15948947.65
