Date(UTC),Pair,Side,Price,Executed,Amount,Fee,Amount($)
04/07/2021 19:06,THETAUSDT,BUY,6.48,3.0900000000THETA,20.02938000USDT,0.0000481600BNB,20.02938
04/07/2021 18:58,ETHUSDT,SELL,2353.86,0.0212700000ETH,50.06660220USDT,0.0001204600BNB,50.0666022
01/07/2021 07:11,ETHUSDT,BUY,2150,0.2365900000ETH,508.66850000USDT,0.0002365900ETH,508.6685
30/06/2021 20:29,ETHUSDT,SELL,2269.11,0.1392600000ETH,315.99625860USDT,0.3159962600USDT,315.9962586
30/06/2021 20:29,ETHUSDT,SELL,2269.28,0.2500000000ETH,567.32000000USDT,0.0014221300BNB,567.32
22/06/2021 14:08,AVAXUSDT,BUY,9.52,1.9930000000AVAX,18.96339500USDT,0.0000615900BNB,18.963395
22/06/2021 14:06,SOLUSDT,BUY,21.14,0.9230000000SOL,19.51314300USDT,0.0000639000BNB,19.513143
22/06/2021 14:05,ADAUSDT,BUY,1.01,41.2300000000ADA,41.51861000USDT,0.0001350800BNB,41.51861
18/06/2021 23:09,ETHUSDT,BUY,2203.07,0.0308000000ETH,67.85455600USDT,0.0001521000BNB,67.854556
18/06/2021 23:06,MANAUSDT,BUY,0.64,76.7400000000MANA,49.06755600USDT,0.0001098800BNB,49.067556
18/06/2021 23:04,ADAUSDT,BUY,1.41,141.3700000000ADA,199.10550800USDT,0.0004453400BNB,199.105508
10/06/2021 12:30,BTCUSDT,SELL,37521.23,0.0084220000BTC,316.00379906USDT,0.0006567300BNB,316.0037991
08/06/2021 13:36,ADAUSDT,BUY,1.51,52.7800000000ADA,79.47612400USDT,0.0001719900BNB,79.476124
07/06/2021 22:29,THETAUSDT,SELL,9.06,8.7760000000THETA,79.49300800USDT,0.0001628400BNB,79.493008
07/06/2021 22:22,ETHUSDT,BUY,2630.1,0.0640400000ETH,168.43160400USDT,0.0003431900BNB,168.431604
06/06/2021 18:10,SOLUSDT,SELL,42.28,0.7750000000SOL,32.76312500USDT,0.0000632200BNB,32.763125
05/06/2021 17:52,ENJUSDT,BUY,1.46,34.3000000000ENJ,50.19462000USDT,0.0000958100BNB,50.19462
05/06/2021 17:51,BTCUSDT,BUY,36007.92,0.0084220000BTC,303.25870224USDT,0.0005790300BNB,303.2587022
02/06/2021 18:50,MATICUSDT,BUY,1.82,54.9000000000MATIC,100.16999100USDT,0.0001825500BNB,100.169991
02/06/2021 18:44,BNBUSDT,SELL,412.31,0.0979000000BNB,40.36514900USDT,0.0000734400BNB,40.365149
02/06/2021 18:43,SOLUSDT,SELL,34.27,0.0210000000SOL,0.71967000USDT,0.0000013000BNB,0.71967
02/06/2021 18:43,SOLUSDT,SELL,34.27,0.8370000000SOL,28.68399000USDT,0.0000521000BNB,28.68399
02/06/2021 18:40,LINKUSDT,SELL,31.23,0.7980000000LINK,24.92473200USDT,0.0000453900BNB,24.924732
02/06/2021 18:40,LINKUSDT,SELL,31.23,0.7720000000LINK,24.11187600USDT,0.0000439100BNB,24.111876
02/06/2021 18:37,VETUSDT,SELL,0.13,369.5000000000VET,47.25905000USDT,0.0000861200BNB,47.25905
02/06/2021 13:23,RUNEUSDT,BUY,12.19,4.2920000000RUNE,52.31089600USDT,0.0000972900BNB,52.310896
02/06/2021 09:03,AVAXUSDT,BUY,18.23,2.8970000000AVAX,52.80941300USDT,0.0001035200BNB,52.809413
30/05/2021 13:55,MATICUSDT,SELL,1.86,15.0000000000MATIC,27.96435000USDT,0.0000638900BNB,27.96435
30/05/2021 13:55,ADAUSDT,SELL,1.64,0.5100000000ADA,0.83512500USDT,0.0000019000BNB,0.835125
30/05/2021 13:55,ADAUSDT,SELL,1.64,92.5000000000ADA,151.45950000USDT,0.0003460700BNB,151.4595
30/05/2021 13:49,ENJUSDT,SELL,1.59,54.8000000000ENJ,86.92376000USDT,0.0001991400BNB,86.92376
30/05/2021 13:48,BTCUSDT,SELL,35617.86,0.0063310000BTC,225.49667166USDT,0.0005162000BNB,225.4966717
26/05/2021 09:43,MATICUSDT,SELL,2.27,10.4000000000MATIC,23.61767200USDT,0.0000467700BNB,23.617672
26/05/2021 09:43,MATICUSDT,SELL,2.27,5.3000000000MATIC,12.04080500USDT,0.0000238400BNB,12.040805
24/05/2021 17:03,BNBUSDT,BUY,312.92,0.1897000000BNB,59.36092400USDT,0.0001422700BNB,59.360924
24/05/2021 17:02,THETAUSDT,BUY,6.26,3.1630000000THETA,19.78772800USDT,0.0000475500BNB,19.787728
24/05/2021 17:00,SOLUSDT,BUY,29.32,1.7240000000SOL,50.55457600USDT,0.0001207500BNB,50.554576
24/05/2021 16:59,LINKUSDT,BUY,24.11,2.0920000000LINK,50.43602800USDT,0.0001207000BNB,50.436028
24/05/2021 16:57,VETUSDT,BUY,0.11,474.3000000000VET,50.75958600USDT,0.0001210400BNB,50.759586
24/05/2021 16:56,MATICUSDT,BUY,1.65,30.5000000000MATIC,50.47475500USDT,0.0001207200BNB,50.474755
20/05/2021 21:24,ADAUSDT,SELL,1.85,108.9000000000ADA,201.46500000USDT,0.0003842300BNB,201.465
20/05/2021 18:24,SOLUSDT,SELL,46.35,1.1330000000SOL,52.51455000USDT,0.0001022100BNB,52.51455
19/05/2021 16:43,MATICUSDT,SELL,2.16,12.7000000000MATIC,27.42158600USDT,0.0000524200BNB,27.421586
19/05/2021 10:09,DOTUSDT,BUY,37.94,2.6550000000DOT,100.72804500USDT,0.0001760100BNB,100.728045
19/05/2021 10:07,CAKEUSDT,BUY,23.22,0.0710000000CAKE,1.64862000USDT,0.0000028500BNB,1.64862
19/05/2021 10:06,CAKEUSDT,BUY,23.22,2.0990000000CAKE,48.73878000USDT,0.0000845100BNB,48.73878
19/05/2021 10:04,UNIUSDT,BUY,30.46,1.6520000000UNI,50.32157200USDT,0.0000870200BNB,50.321572
19/05/2021 10:02,ADAUSDT,BUY,1.78,171.1400000000ADA,303.91041200USDT,0.0005245300BNB,303.910412
19/05/2021 10:01,ETHUSDT,BUY,2975.1,0.0677100000ETH,201.44402100USDT,0.0003465300BNB,201.444021
18/05/2021 22:16,XVSUSDT,BUY,80.25,0.3790000000XVS,30.41550800USDT,0.0000448400BNB,30.415508
18/05/2021 22:11,MATICUSDT,SELL,2.47,12.3000000000MATIC,30.39895800USDT,0.0000448400BNB,30.398958
